sklearn Coefficients
==================================================
Bias Term      : 0.016498
V525           : 0.034458
V526           : -0.026857
V527           : 0.044127
V528           : -0.029051
V529           : 0.004163
V530           : 0.011835
V531           : 0.019844
V532           : -0.009356
V533           : 0.013841
V534           : 0.002726
V535           : 0.010472
V536           : -0.002721
V537           : -0.018906
V538           : 0.009761
V539           : 0.019499
V540           : -0.016466
V541           : -0.011029
V542           : 0.000623
V543           : -0.001237
V544           : -0.018157
V545           : -0.035830
V546           : 0.020678
V547           : -0.003234
V548           : 0.004456
V549           : 0.003071
V550           : -0.022433
V551           : -0.007028
V552           : 0.009584
V553           : -0.006406
V554           : -0.003182
V555           : 0.006618
V556           : -0.008328
V557           : 0.004489
V558           : -0.003275
V559           : -0.018050
V560           : -0.020066
V561           : 0.013141
V562           : -0.023490
V563           : -0.026076
V564           : -0.003621
V565           : 0.029332
V566           : -0.009403
V567           : 0.002837
V568           : 0.014842
V569           : 0.001008
V570           : -0.038094
V571           : 0.001618
V572           : -0.018521
V573           : -0.002745
V574           : 0.011158
V575           : 0.025671
V576           : -0.004540
V577           : -0.004642
V578           : -0.009881
V579           : 0.027927
V580           : 0.012570
V581           : -0.013466
V582           : 0.012224
V583           : -0.003876
V584           : 0.007935
V585           : 0.002369
V586           : -0.000910
V587           : 0.009888
V588           : 0.004713
V589           : -0.017675
V590           : -0.010637
V591           : -0.001317
V592           : 0.010382
V593           : 0.012146
V594           : -0.002451
V595           : -0.016135
V596           : -0.011934
V597           : 0.001498
V598           : -0.011808
V599           : 0.007817
V600           : 0.004612
V601           : -0.011160
V602           : 0.014395
V603           : 0.002198
V604           : -0.015725
V605           : 0.012040
V606           : 0.001992
V607           : 0.015434
V608           : -0.009970
V609           : -0.023984
V610           : -0.026436
V611           : 0.006075
V612           : 0.006222
V613           : 0.000996
V614           : -0.041941
V615           : -0.005458
V616           : 0.007182
V617           : -0.005364
V618           : 0.012195
V619           : -0.009987
V620           : -0.025735
V621           : 0.004336
V622           : 0.002301
V623           : 0.012110
V624           : -0.031247
V625           : 0.019377
V626           : -0.009243
V627           : 0.039471
V628           : 0.015713
V629           : 0.010598
V630           : -0.010215
V631           : 0.010555
V632           : 0.009637
V633           : -0.024358
V634           : -0.007947
V635           : 0.007534
V636           : -0.007624
V637           : 0.014747
V638           : -0.005360
V639           : -0.004783
V640           : 0.000907
V641           : 0.003747
V642           : 0.006831
V643           : 0.002526
V644           : -0.014885
V645           : 0.009773
V646           : 0.002674
V647           : -0.018727
V648           : -0.017046
V649           : 0.029059
V650           : -0.020120
V651           : 0.000365
V652           : 0.021927
V653           : -0.004826
V654           : -0.005106
V655           : 0.004172
V656           : -0.003755
V657           : -0.014366
V658           : -0.001186
V659           : -0.021465
V660           : -0.004312
V661           : 0.012121
V662           : -0.018449
V663           : 0.012692
V664           : 0.013113
V665           : 0.016270
V666           : 0.005727
V667           : 0.012072
V668           : 0.013579
V669           : 0.004235
V670           : -0.013951
V671           : -0.013945
V672           : 0.020570
V673           : -0.001116
V674           : -0.020491
V675           : 0.007646
V676           : 0.006076
V677           : -0.003218
V678           : -0.006131
V679           : -0.003547
V680           : -0.008276
V681           : -0.004619
V682           : 0.011346
V683           : 0.003961
V684           : -0.018741
V685           : -0.016626
V686           : -0.004490
V687           : -0.035055
V688           : -0.012619
V689           : -0.000249
V690           : 0.000349
V691           : 0.000492
V692           : 0.004977
V693           : 0.000306
V694           : -0.023327
V695           : -0.002184
V696           : -0.008367
V697           : -0.009610
V698           : 0.012914
V699           : 0.016650
V700           : -0.008342
V701           : 0.006424
V702           : -0.024525
V703           : -0.025884
V704           : 0.014375
V705           : 0.006391
V706           : -0.006620
V707           : -0.008246
V708           : 0.032767
V709           : -0.017412
V710           : 0.000182
V711           : 0.011449
V712           : -0.016363
V713           : 0.003015
V714           : -0.005710
V715           : 0.019579
V716           : -0.053170
V717           : -0.020778
V718           : 0.001779
V719           : -0.016971
V720           : -0.010020
V721           : 0.002353
V722           : 0.007152
V723           : 0.004818
V724           : -0.024844
V725           : -0.009626
V726           : 0.024633
V727           : 0.008957
V728           : -0.010171
V730           : -0.001299
V731           : 0.022298
V732           : -0.023789
V733           : -0.001971
V734           : 0.002945
V735           : 0.021917
V736           : -0.014157
