sklearn Coefficients
==================================================
Bias Term      : -0.011369
V1148          : 0.002182
V1149          : 0.010778
V1150          : -0.002398
V1151          : -0.010629
V1152          : -0.008495
V1153          : -0.006006
V1154          : -0.028182
V1156          : -0.008171
V1157          : -0.004007
V1158          : 0.064741
V1159          : 0.073139
V1160          : -0.021351
V1162          : -0.019047
V1163          : -0.046252
V1164          : -0.000907
V1165          : 0.010715
V1168          : -0.065309
V1169          : -0.040746
V1170          : -0.000848
V1171          : -0.023368
V1172          : 0.004737
V1173          : 0.012305
V1174          : -0.028577
V1176          : 0.019672
V1178          : 0.035199
V1179          : -0.007670
V1181          : 0.009886
V1182          : 0.003470
V1183          : -0.006644
V1184          : -0.027817
V1185          : -0.015295
V1186          : 0.012826
V1187          : -0.023644
V1188          : -0.095172
V1190          : -0.042672
V1191          : 0.011021
V1193          : 0.008560
V1197          : 0.010911
V1201          : 0.021941
V1204          : -0.019996
V1205          : 0.051066
V1206          : -0.021595
V1208          : -0.010125
V1209          : 0.014725
V1210          : 0.000322
V1211          : 0.028349
V1212          : -0.018971
V1213          : -0.007025
V1214          : 0.041764
V1215          : -0.014659
V1216          : -0.004860
V1218          : -0.006075
V1220          : -0.017727
V1221          : 0.001103
V1222          : -0.000750
V1223          : -0.012088
V1224          : -0.022599
V1225          : -0.049981
V1226          : -0.074002
V1227          : 0.054079
V1228          : -0.020915
V1229          : -0.009250
V1230          : -0.015154
V1232          : 0.010975
V1233          : 0.002101
V1234          : 0.009366
V1236          : 0.003243
V1237          : -0.005122
V1238          : -0.000278
V1239          : -0.010014
V1240          : 0.013514
V1241          : -0.018407
V1242          : 0.041371
V1243          : -0.002411
V1244          : -0.069438
V1245          : -0.028425
V1246          : 0.002356
V1247          : -0.042251
V1248          : -0.000563
V1249          : -0.020170
V1250          : 0.022980
V1251          : -0.035830
V1252          : 0.008374
V1253          : -0.002287
V1254          : -0.024253
V1255          : -0.045085
V1256          : -0.000045
V1258          : -0.022683
V1262          : 0.000345
V1264          : -0.003171
V1265          : 0.056023
V1266          : 0.031440
V1267          : 0.043528
V1270          : 0.005717
V1271          : -0.010836
V1272          : 0.002290
V1273          : -0.028056
V1275          : 0.035982
V1276          : -0.002137
V1280          : -0.042187
V1281          : 0.016417
V1282          : 0.001451
V1283          : -0.015350
V1284          : -0.018022
V1285          : 0.021821
V1286          : 0.021885
V1288          : 0.005435
V1290          : 0.091780
V1291          : -0.030530
V1292          : -0.008010
V1293          : -0.001466
V1294          : 0.014883
V1297          : -0.003943
V1298          : 0.017482
V1299          : 0.012928
V1300          : -0.006573
V1301          : 0.009505
V1302          : -0.028607
V1303          : 0.009001
V1304          : 0.006649
V1305          : -0.014175
V1307          : 0.035984
V1309          : 0.000831
V1310          : -0.033042
V1311          : 0.032035
V1312          : -0.006501
V1313          : -0.001266
V1314          : 0.003935
V1315          : 0.024007
